Published,NID,Name,Appointment,SAD,"Fellow, Scholar, & Joint Appointments",Other Titles,Faculty Director Positions
Yes,302626,A. Michael Spence,"Philip H. Knight Professor and Dean, Emeritus",No,,,"Chairman, Advisory Board of Stanford Institute for Innovation in Developing Economies (SEED)"
Yes,403276,Aaron Levie,Lecturer in Management,No,,,
Yes,391341,Adina Sterling,Assistant Professor of Organizational Behavior,No,,,
Yes,302161,Alain C. Enthoven,"Marriner S. Eccles Professor of Public and Private Management, Emeritus",No,"Senior Fellow Emeritus (by courtesy), Freeman Spogli Institute for International Studies at Stanford",,
Yes,302831,Ali Yurukoglu,Associate Professor of Economics,No,James & Doris McNamara Faculty Scholar for 2015-16,,
Yes,386466,Allan C. Thygesen,Lecturer in Marketing,No,,,
Yes,383101,Allison D. Kluger,Lecturer in Management,No,,,
Yes,403896,Allison O'Hair,Lecturer in Management,No,,,
Yes,383161,Alyssa Rapp,Lecturer in Management,No,,,
Yes,302776,Amir Goldberg,Assistant Professor of Organizational Behavior,No,,"Assistant Professor of Sociology (by courtesy), School of Humanities and Sciences",
Yes,306486,Amy Beth Zegart,"Davies Family Senior Fellow, Hoover Institution",No,,,
Yes,384371,Amy Wilkinson,Lecturer in Management,No,,,
Yes,302046,Anat R. Admati,George G.C. Parker Professor of Finance and Economics,No,Robert & Marilyn Jaedicke Faculty Fellow for 2015-16,"Professor of Management Science and Engineering (by courtesy), School of Engineering|Professor of Economics (by courtesy), School of Humanities and Sciences",
Yes,386236,Andrea Corney,Instructor,No,,,
Yes,403916,Andrew Lee Youmans,Lecturer in Organizational Behavior,No,,,
Yes,309661,Andrew S. Rachleff,Lecturer in Management,No,,,
Yes,302611,Andrzej Skrzypacz,Theodore J. Kreps Professor of Economics,No,,"Professor of Economics (by courtesy), School of Humanities and Sciences",Co-director of the Executive Program in Strategy and Organization
Yes,399166,Ann Grimes,"Lorry I. Kokey Professor of the Practice, Department of Communications, School of Humanities and Sciences",No,,,
Yes,380431,Ann Livermore,Lecturer in Management,No,,,
Yes,302091,Anne Beyer,Associate Professor of Accounting,No,,,"Co-Director, Summer Institute for general Management"
Yes,403081,Anne Marie Burgoyne,Lecturer in Management,No,,,
Yes,309381,Arjay Miller,Professor and Dean Emeritus,No,,,
Yes,391326,Aruna Ranganathan,Assistant Professor of Organizational Behavior,No,,,
Yes,362541,Arvind Krishnamurthy,John S. Osterweis Professor of Finance,No,,Lacob Family Faculty Fellow for 2015-16,
Yes,302591,Baba Shiv,"Sanwa Bank, Limited, Professor of Marketing",No,,,Director of the Strategic Marketing Management Executive Program|Director of The Innovative Technology Leader Executive Program|Faculty Director of Stanford go•to•market program
Yes,377166,Barry Rhein,Lecturer in Marketing,No,,,
Yes,302436,Benoît Monin,Professor of Organizational Behavior,No,,"Professor of Psychology, School of Humanities and Sciences",
Yes,302211,Bill Guttentag,Lecturer in Organizational Behavior,No,,,
Yes,309771,Bill Meehan,Lafayette Partners Lecturer for 2015-16,No,,Lecturer in Strategic Management,
Yes,405191,Bob Lisbonne,Lecturer in Management,No,,,
Yes,302741,Bradyn Breon-Drish,Assistant Professor of Finance,No,,,
Yes,302371,Brian Lowery,Walter Kenneth Kilpatrick Professor of Organizational Behavior,No,,,
Yes,302026,Carole Robin,Dorothy J. King Lecturer in Leadership,No,,,Director of the Interpersonal Dynamics for High-Performance Executive Program
Yes,307951,Caroline Hoxby,Professor of Economics (by courtesy),No,"Senior Fellow, Hoover Institution","Scott and Donya Bommer Professor of Economics, School of Humanities and Sciences",
Yes,302256,Charles A. Holloway,"Kleiner Perkins Caufield & Byers Professor of Management, Emeritus",No,,,
Yes,302466,Charles A. O’Reilly,Frank E. Buck Professor of Management,No,,,Director of the Leading Change and Organizational Renewal Executive Program
Yes,302291,Charles I. Jones,STANCO 25 Professor of Economics,No,,,
Yes,302016,Charles M. C. Lee,Moghadam Family Professor of Management,No,,,
Yes,302106,Charles Pius Bonini,"William R. Timken Professor of Management Science, Emeritus",No,,,
Yes,302251,Chip Heath,Thrive Foundation for Youth Professor of Organizational Behavior,No,,,
Yes,302176,Chris Flink,Lecturer in Marketing,No,,,
