legacy path,new path
advisorycouncil,stanford-gsb-experience/leadership/advisory-council
advisorycouncil/a-wong,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/a-y-long,alumni/contact/alumni-association/about-alumni/annabelle-anna-yu-long
advisorycouncil/barlow.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/barra,alumni/contact/alumni-association/about-alumni/mary-teresa-barra
advisorycouncil/bass.html,alumni/contact/alumni-association/about-alumni/robert-m-bass
advisorycouncil/bostrom.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/brito.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/chen.html,alumni/contact/alumni-association/about-alumni/william-bill-m-barnum
advisorycouncil/clayman,alumni/contact/alumni-association/about-alumni/michelle-r-clayman
advisorycouncil/costin.html,alumni/contact/alumni-association/about-alumni/michelle-r-clayman
advisorycouncil/dalgaard,alumni/contact/alumni-association/about-alumni/lars-dalgaard
advisorycouncil/davies.html,alumni/contact/alumni-association/about-alumni/paul-lew-lewis-davies
advisorycouncil/denning.html,alumni/contact/alumni-association/about-alumni/steven-aaron-denning
advisorycouncil/dewilde.html,alumni/contact/alumni-association/about-alumni/katherine-august-dewilde
advisorycouncil/donnini.html,alumni/contact/alumni-association/about-alumni/david-donnini
advisorycouncil/donohoe,alumni/contact/alumni-association/about-alumni/robin-richards-donohoe
advisorycouncil/eakin.html,alumni/contact/alumni-association/about-alumni/riley-p-bechtel
advisorycouncil/eitel.html,alumni/contact/alumni-association/about-alumni/scott-brady
advisorycouncil/ellis.html,alumni/contact/alumni-association/about-alumni/george-n-chammas
advisorycouncil/epstein.html,alumni/contact/alumni-association/about-alumni/stuart-joel-epstein
advisorycouncil/firmenich.html,alumni/contact/alumni-association/about-alumni/antoine-firmenich
advisorycouncil/fisher.html,alumni/contact/alumni-association/about-alumni/william-bill-sydney-fisher
advisorycouncil/g-davis,alumni/contact/alumni-association/about-alumni/paul-lew-lewis-davies
advisorycouncil/garza-sada.html,alumni/contact/alumni-association/about-alumni/armando-garza
advisorycouncil/gleberman.html,alumni/contact/alumni-association/about-alumni/joseph-henry-gleberman
advisorycouncil/goldman.html,alumni/contact/alumni-association/about-alumni/john-david-goldman
advisorycouncil/gouw.html,alumni/contact/alumni-association/about-alumni/theresia-arijanti-gouw
advisorycouncil/gupta,alumni/contact/alumni-association/about-alumni/akhilesh-akhil-krishna-gupta
advisorycouncil/hagey.html,alumni/contact/alumni-association/about-alumni/russell-russ-hagey
advisorycouncil/hersh.html,alumni/contact/alumni-association/about-alumni/kenneth-asher-hersh
advisorycouncil/hodgson.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/horbach.html,alumni/contact/alumni-association/about-alumni/sandra-j-horbach
advisorycouncil/jordan.html,alumni/contact/alumni-association/about-alumni/jeffrey-dalton-jordan
advisorycouncil/kayden.html,alumni/contact/alumni-association/about-alumni/joelle-moira-kayden
advisorycouncil/koffel.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/kordestani.html,alumni/contact/alumni-association/about-alumni/farhad-forbes
advisorycouncil/lainovic,alumni/contact/alumni-association/about-alumni/sacha-lainovic
advisorycouncil/liggett,alumni/contact/alumni-association/about-alumni/emily-maddox-liggett
advisorycouncil/matelich.html,alumni/contact/alumni-association/about-alumni/george-edward-matelich
advisorycouncil/mcandrews.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/mccaffery.html,alumni/contact/alumni-association/about-alumni/william-e-ford
advisorycouncil/mckinnell.html,alumni/contact/alumni-association/about-alumni/henry-hank-mckinnell
advisorycouncil/medina-mora.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/mehrotra.html,alumni/contact/alumni-association/about-alumni/sanjay-mehrotra
advisorycouncil/milligan.html,alumni/contact/alumni-association/about-alumni/gretchen-hartnack-milligan
advisorycouncil/morgridge.html,alumni/contact/alumni-association/about-alumni/john-p-morgridge
advisorycouncil/novogratz.html,alumni/contact/alumni-association/about-alumni/peter-t-francis
advisorycouncil/ormond.html,alumni/contact/alumni-association/about-alumni/bowei-lee
advisorycouncil/pellas.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/penner.html,alumni/contact/alumni-association/about-alumni/gregory-b-penner
advisorycouncil/rivera.html,alumni/contact/alumni-association/about-alumni/miriam-rivera
advisorycouncil/robertson,alumni/contact/alumni-association/about-alumni/alexander-tucker-robertson
advisorycouncil/romo,alumni/contact/alumni-association/about-alumni/martin-anthony-romo
advisorycouncil/scott.html,alumni/contact/alumni-association/about-alumni/bernard-looney
advisorycouncil/servitje,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/shanahan.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/siminoff,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/slosar.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/sykes.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/taweel.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/thoma.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/tsujihara.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/tuttle.html,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/weatherman,stanford-gsb-experience/leadership/advisory-council/members
advisorycouncil/zaoui.html,stanford-gsb-experience/leadership/advisory-council/members
cmc,organizations/recruit
cmc/about,organizations/recruit
cmc/about/contact,organizations/recruit/contact
cmc/about/directory,organizations/recruit/contact
cmc/about/leadership,organizations/recruit/contact
cmc/calendar,organizations/recruit/finding-candidates/calendar
cmc/dual.html,programs/mba/academic-experience/joint-dual-degrees
cmc/global,organizations/recruit/finding-candidates/interviewing/international
cmc/hire,organizations/recruit
cmc/hire/best-practices.html,organizations/recruit/strategies
cmc/hire/checklist.html,organizations/recruit/strategies
cmc/hire/consultation.html,organizations/recruit/contact
cmc/hire/faqs.html,organizations/recruit
cmc/hire/internships.html,organizations/leverage-gsb/internships-experiential-learning
cmc/hire/job-descriptions.html,organizations/recruit/strategies/offer-compelling-position
cmc/hire/jobs.html,organizations/recruit/finding-candidates/job-board
cmc/hire/ocr.html,organizations/recruit/finding-candidates
cmc/hire/resumes.html,organizations/recruit/finding-candidates/resume-databases
cmc/hire/strategy.html,organizations/recruit/strategies
cmc/insidescoop.html,organizations/recruit
cmc/jb.html,organizations/recruit/finding-candidates/job-board
cmc/policies,organizations/recruit/finding-candidates/policies
cmc/reports,organizations/recruit/employment-reports
cmc/visibility,organizations/recruit/strategies/build-visibility
cmc/visibility/catering.html,stanford-university-community/plan-event/catering-services
cmc/visibility/cnn.html,organizations/recruit/finding-candidates/events/networking-nights
cmc/visibility/confirm_eventrequest.html,organizations/recruit/finding-candidates/events/employer
cmc/visibility/eventrequest.html,organizations/recruit/finding-candidates/events/employer
cmc/visibility/events-cmc.html,organizations/recruit/finding-candidates/events/networking-nights
cmc/visibility/events-nongsb.html,organizations/recruit/finding-candidates/events/employer
cmc/visibility/events-students.html,organizations/recruit/finding-candidates/events/employer
cmc/visit,visit
cmc/visit/directions.html,visit
cmc/visit/hotels.html,visit
cmc/visit/map.html,visit
cmc/visit/parking.html,visit
cmc/visit/transportation.html,visit
corporate,organizations
corprel,organizations/invest
corprel/annual,organizations/invest/donor-recognition
corprel/contact_us.html,organizations/invest/contact
corprel/corp_programs,organizations/invest/other-ways/centers-initiatives
corprel/corp_programs/global_aff_pgm.html,organizations/leverage-gsb/internships-experiential-learning/gmix
corprel/corp_programs/gmix,organizations/leverage-gsb/internships-experiential-learning/gmix
corprel/corp_visibility,organizations/invest
corprel/corp_visibility/speaker_engage.html,organizations/leverage-gsb
corprel/corp_visibility/sponsorships,organizations/invest/other-ways/student-fellowships
corprel/corp_visibility/sponsorships/diversity.html,organizations/invest/other-ways/student-fellowships
corprel/corp_visibility/sponsorships/global.html,organizations/invest/other-ways/student-fellowships
corprel/corp_visibility/sponsorships/industry.html,organizations/invest/other-ways/student-fellowships
corprel/corp_visibility/sponsorships/leadership.html,organizations/invest/other-ways/student-fellowships
